participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,1,7,0,1507,0,1,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,2,1,1,1386,0,1,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,2,2,1,957,0,1,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,2,3,0,1359,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,2,4,0,1688,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,2,5,0,1369,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,2,6,0,2094,0,0,trackpad
10,baseline,"trackpad,trackpad","mouse,trackpad",trackpad,2,7,0,1793,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,1,1,0,1560,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,1,2,1,1401,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,1,3,1,1170,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,1,4,0,2182,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,1,5,1,1765,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,1,6,0,1478,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,1,7,0,1542,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,2,1,0,1241,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,2,2,0,1179,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,2,3,1,1312,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,2,4,0,1439,0,0,trackpad
